timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.0,0.0,0.0,0.0
0.001,0.595496282585126,0.001158037581529738,0.5943382450035962
0.002,1.1758877695759669,0.006158479760826551,1.1697292898151403
0.003,1.732932581078593,0.017063163155449264,1.7158694179231437
0.004,2.259536852150543,0.035644998305958964,2.223891853844584
0.005,2.7497005768996736,0.0634017877645917,2.686298789135082
0.006,3.1984768760058024,0.10156667588502635,3.0969102001207762
0.007,3.6019376623950112,0.15111698903620022,3.450820673358811
0.008,3.957140700335052,0.21278271833349247,3.7443579820015596
0.009,4.262094638336083,0.28705549965683963,3.9750391386792434
0.01,4.515719828440559,0.3741986369821664,4.141521191458392
0.011,4.717803689634536,0.47425847834412826,4.2435452112904075
0.012,4.868950085350352,0.587077275473034,4.281872809877317
0.013,4.970522709845045,0.7123075268850776,4.258215182959967
0.014,5.024582854188111,0.8494277102682528,4.175155143919858
0.015,5.033822182036982,0.9977592452750492,4.036062936761932
0.016,5.001491315738262,1.156484485426588,3.845006830311674
0.017,4.931325136284237,1.3246655123020445,3.6066596239821926
0.018,4.827465754132419,1.5012634920532206,3.3262022620791982
0.019,4.69438412527409,1.6851583501854572,3.009225775088633
0.02,4.536801278306082,1.8751685229489368,2.661632755357145
0.021,4.35961009097872,2.070070550746364,2.2895395402323557
0.022,4.167798513827842,2.2686182894124416,1.8991802244154004
0.023,3.9663750875610413,2.469561528174945,1.4968135593860965
0.024,3.76029754216485,2.67166381799255,1.0886337241723
0.025,3.5544052009401867,2.873719330345295,0.6806858705948917
0.026,3.353355842859569,3.074568584183641,0.2787872586759277
0.027,3.1615685325556444,3.273112664937594,-0.11154413238194971
0.028,2.983247044404531,3.4683072867325966,-0.48506024232806544
0.029,2.8223806331196792,3.659162529613925,-0.8367818964942457
0.03,2.6825677035363786,3.84478682155353,-1.1622191180171515
0.031,2.566959766691571,4.02440081939886,-1.457441052707289
0.032,2.478228300498559,4.197345552949519,-1.7191172524509604
0.033,2.41854081523108,4.363088260061499,-1.9445474448304187
0.034,2.38954611260009,4.5212259179471515,-2.1316798053470616
0.035,2.3923685492015125,4.671486520321626,-2.279117971120113
0.036,2.4276109528553045,4.813728190549207,-2.3861172376939024
0.037,2.49536569850101,4.947936256308515,-2.452570557807505
0.038,2.5952333315399763,5.074218440857858,-2.4789851093178816
0.039,2.726348031967621,5.192798349462187,-2.466450317494566
0.04,2.8874091420969132,5.304007447001348,-2.416598304904435
0.041,3.0767179327250704,5.408275734575064,-2.331557801849993
0.042,3.2922187552428164,5.5061213395592885,-2.213902584316472
0.043,3.5315437179045563,5.598139235682248,-2.0665955177776913
0.044,3.7920600306504118,5.684989307944139,-1.8929292772937276
0.045,4.070919181925173,5.767383972238188,-1.6964647903130157
0.046,4.365107140465648,5.846075551955624,-1.4809684114899762
0.047,4.671494812983532,5.921843604183825,-1.2503487912002926
0.048,4.98688803316932,5.995482376804964,-1.008594343635644
0.049,5.3080764071342665,6.067788565219057,-0.7597121580847901
0.05,5.63188039390938,6.139549523887504,-0.5076691299781242
0.051,5.955196056129586,6.211532073629748,-0.25633601750016144
0.052,6.275036974597257,6.284472030841474,-0.009435056244217144
0.053,6.5885776009925,6.359063389834266,0.229514211158234
0.054,6.893204395171811,6.435945573977749,0.4572588211940616
0.055,7.186531052622533,6.515699675549666,0.6708313770728669
0.056,7.466419503416688,6.598843259585996,0.8675762438306922
0.057,7.731002278777864,6.685824835005976,1.0451774437718884
0.058,7.978699950700055,6.777019566125143,1.201680384574912
0.059,8.208233550196205,6.872726247209054,1.3355073029871507
0.06,8.418631965171837,6.973165538855753,1.4454664263160844
0.061,8.609234409085245,7.078479442465786,1.5307549666194582
0.062,8.779688133794682,7.1887319685295505,1.5909561652651316
0.063,8.929941633186314,7.30391093621182,1.6260306969744933
0.064,9.060233647057267,7.423930826055478,1.636302821001789
0.065,9.171078327145542,7.54863659459611,1.622441732549432
0.066,9.263246968831664,7.677808349353624,1.5854386194780403
0.067,9.337746743405923,7.811166774913214,1.526579968492709
0.068,9.395796887275402,7.948379195529523,1.447417691745879
0.069,9.438802816957931,8.08906615666177,1.349736660296161
0.07,9.468328642885423,8.232808406894206,1.235520235991217
0.071,9.486068551895762,8.379154162568684,1.1069143893270788
0.072,9.49381751863802,8.527626539950461,0.9661909786875587
0.073,9.493441790798745,8.677731043651253,0.8157107471474916
0.074,9.486849572924047,8.828963005131572,0.6578865677924757
0.075,9.475962309202837,8.98081487126189,0.49514743794094684
0.076,9.46268693787048,9.132783249892302,0.3299036879781774
0.077,9.448889458960474,9.284375627147169,0.1645138318133057
0.078,9.436370124103874,9.4351166794364,0.001253444667474568
0.079,9.426849992857326,9.584551744828925,-0.15770175197159908
0.08,9.421978227303098,9.732245116356072,-0.31026688905297384
0.081,9.423281410400653,9.877792829580343,-0.4545114191796902
0.082,9.432135295831573,10.020829836299928,-0.5886945404683548
0.083,9.449749735656713,10.161033883608512,-0.7112841479517993
0.084,9.477156780819756,10.298128600327075,-0.820971819507319
0.085,9.515202015196321,10.431885775711946,-0.9166837605156246
0.086,9.56453912792048,10.562126829256982,-0.9975877013365029
0.087,9.625627675117483,10.688723483720391,-1.0630958086029079
0.088,9.698733931913566,10.811597665963554,-1.1128637340499878
0.089,9.783934689118748,10.930720671696807,-1.1467859825780593
