timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.0,0.0,0.0,0.0
0.005,0.14960483055468662,0.0018634165282398248,0.1477414140264468
0.01,0.5395095296816576,0.022102132535483154,0.5174073971461743
0.015,1.0461273592528906,0.09133103484248833,0.9547963244104023
0.02,1.5454740839837284,0.24002875443404142,1.305445329549687
0.025,1.9566014799077796,0.48770941388639844,1.4688920660213811
0.03,2.261296347946978,0.8380677997558266,1.4232285481911515
0.035,2.4989551768124056,1.2803391011133187,1.218616075699087
0.04,2.743301790770014,1.7951788543501177,0.9481229364198964
0.045,3.0720901224908164,2.3622617405287674,0.709828381962049
0.05,3.54091592815535,2.966816861280653,0.5740990668746968
0.055,4.168791690717874,3.6031964935709397,0.565595197146934
0.06,4.938024570183801,4.274860293828119,0.6631642763556824
0.065,5.805968915360795,4.991398891635652,0.8145700237251434
0.07,6.722832573117226,5.764063433768849,0.9587691393483766
0.075,7.648719905592339,6.601508518746324,1.0472113868460147
0.08,8.564491468653507,7.507098837525604,1.0573926311279038
0.085,9.47398918488006,8.478382633306834,0.9956065515732249
0.09,10.39843841605153,9.508518515564887,0.8899199004866425
0.095,11.366229552096652,10.588847052495973,0.7773824996006784
0.1,12.402180076534217,11.711578739079158,0.6906013374550586
0.105,13.519797622988447,12.871719951500395,0.6480776714880516
0.11,14.718482180208616,14.067757551792324,0.6507246284162918
0.115,15.985700134325992,15.301100372901248,0.6845997614247441
0.12,17.302579484744445,16.574670611849523,0.7279088728949219
0.125,18.650552782058764,17.891241289732033,0.7593114923267308
0.13,20.016747085701255,19.252094732493514,0.7646523532077403
0.135,21.396617818997505,20.656375203282767,0.7402426157147382
0.14,22.793465723821488,22.10122207496978,0.6922436488517079
0.145,24.21553330134572,23.582505892979775,0.633027408365944
0.15,25.672024075383476,25.095829284250286,0.5761947911331902
0.155,27.169493234195336,26.637430171113223,0.5320630630821128
0.16,28.709687444238256,28.204719057039377,0.504968387198879
0.165,30.28926708199432,29.796344239117737,0.4929228428765846
0.17,31.90117569245676,31.411846013825443,0.48932967863131793
0.175,33.53694226967406,33.05108011435431,0.48586215531974375
0.18,35.18902995907012,34.71363257617505,0.4753973828950677
0.185,36.852482028387364,36.398412864470814,0.45406916391655017
0.19,38.525466448721964,38.10352374530964,0.4219427034123271
0.195,40.20873660053069,39.82640210873653,0.3823344917941611
0.2,41.904364359705916,41.56414052128325,0.34022383842266635
0.205,43.61426964000771,43.31385790511108,0.30041173489663464
0.21,45.3390444188798,45.072994912412824,0.26604950646697745
0.215,47.0773913505315,46.83945456603863,0.2379367844928666
0.22,48.82624932611863,48.61157091729535,0.21467840882327494
0.225,50.58145029678613,50.38794542039761,0.19350487638852343
0.23,52.33861132955376,52.167225512455424,0.1713858170983329
0.235,54.09394228042422,53.94790538581516,0.1460368946090611
0.24,55.84473024108321,55.728208388993956,0.11652185208925658
0.245,57.58940397667888,57.50607476581672,0.08332921086216061
0.25,59.32722987751341,59.27924134243439,0.04798853507902123
0.255,61.05779786163365,61.04537318301385,0.012424678619801455
0.26,62.78053325643746,62.80218807622031,-0.021654819782852996
0.265,64.49472182415445,64.54745241492228,-0.052730590767822605
0.27,66.19897373175712,66.27911716210342,-0.0801434303462969
0.275,67.89084589559066,67.99541341581936,-0.10456752022869864
0.28,69.56719710527064,69.6947648309322,-0.1275677256615637
0.285,71.2247433544727,71.37565056917201,-0.15090721469931623
0.29,72.86057745929536,73.03647784880589,-0.17590038951053089
0.295,74.4724789205536,74.6755074371016,-0.20302851654800236
0.3,76.05894271810638,76.29084959081668,-0.2319068727102973
0.305,77.61896498917422,77.88052061640137,-0.2615556272271533
0.31,79.15170107773613,79.44253094005241,-0.29082986231627217
0.315,80.65613594409942,80.97496961863808,-0.3188336745386664
0.32,82.13087891249832,82.47605738753664,-0.345178475038324
0.325,83.57413282130784,83.94415592247789,-0.3700231011700481
0.33,84.98381902975373,85.37773816309745,-0.3939191333437151
0.335,86.35778928776591,86.77533709921198,-0.4175478114460702
0.34,87.69403746319844,88.13549482227717,-0.44145735907872563
0.345,88.99083912580653,89.45672979081695,-0.46589066501042
0.35,90.24678411334708,90.73753090932077,-0.490746795973692
0.355,91.46070985509417,91.97637634169949,-0.5156664866053262
0.36,92.63157581202671,93.17176686682592,-0.5401910547992088
0.365,93.75833250190935,94.32226036774071,-0.56392786583136
0.37,94.83983112737052,95.42649597283402,-0.5866648454635026
0.375,95.87479796706417,96.48320187649931,-0.6084039094351397
0.38,96.86187142384023,97.49118744665523,-0.6293160228150043
0.385,97.79967868597387,98.44932544399016,-0.6496467580162886
0.39,98.68691953403928,99.35653249741559,-0.6696129633763093
0.395,99.52242807714407,100.2117551276786,-0.6893270505345299
0.4,100.30519577289719,101.01396543926393,-0.7087696663667344
0.405,101.03435506123901,101.76216659622968,-0.7278115349906642
0.41,101.70913631687915,102.45540486232821,-0.7462685454490554
0.415,102.32881754916828,103.0927833258613,-0.763965776693027
0.42,102.89268527367135,103.67347270538903,-0.7807874317176839
0.425,103.40001796578403,104.19671640500663,-0.7966984392225953
0.43,103.85009391407044,104.66182939433612,-0.811735480265682
0.435,104.24221679685188,105.0681926085188,-0.8259758116669218
0.44,104.57574755433762,105.4152457394802,-0.839498185142574
0.445,104.85012205448788,105.70248354108281,-0.8523614865949298
0.45,105.06482471430414,105.92946306110294,-0.8646383467987988
0.455,105.21944620842092,106.09578979048257,-0.8763435820616507
0.46,105.31370492849959,106.20111286570928,-0.8874079372096872
0.465,105.3474227891187,106.24513160053459,-0.897708811415896
0.47,105.32049042180525,106.22760455665583,-0.9071141348505876
0.475,105.23283557692133,106.14835769400081,-0.9155221170794761
0.48,105.08440467501377,106.00728912600789,-0.9228844509941183
0.485,104.87516126683019,105.80436955958349,-0.9292082927533016
0.49,104.60509892222359,105.53963905982249,-0.9345401375989013
0.495,104.27426177874828,105.21320184585865,-0.9389400671103658
0.5,103.8827646758362,104.82522114086592,-0.9424564650297214
0.505,103.43080635804903,104.37591570053007,-0.9451093424810466
0.51,102.91867262361022,103.86555879010425,-0.9468861664940249
0.515,102.3467300888286,103.29447943019618,-0.947749341367583
