alt_ft,sigma
-3280.839895013123,1.0996
-1640.4199475065616,1.0489
0.0,1.0
3280.839895013123,0.90748
4921.259842519685,0.86376
6561.679790026246,0.82168
8202.099737532808,0.78119
9842.51968503937,0.74225
11482.939632545931,0.70482
13123.359580052493,0.66885
14763.779527559054,0.63432
16404.199475065616,0.60117
18044.619422572177,0.56936
19685.03937007874,0.53887
21325.4593175853,0.50964
22965.879265091862,0.48165
24606.299212598424,0.45485
26246.719160104985,0.42921
27887.139107611547,0.4047
29527.55905511811,0.38128
31167.97900262467,0.35891
32808.39895013123,0.33756
34448.81889763779,0.3172
36089.238845144355,0.2978
36417.32283464567,0.29332
39370.07874015748,0.25464
42650.9186351706,0.21763
45931.758530183724,0.18601
49212.59842519685,0.15898
52493.43832020997,0.13589
55774.278215223094,0.11616
59055.11811023622,0.099304
62335.95800524934,0.084894
65616.79790026246,0.07258
65944.88188976378,0.071439
68897.63779527559,0.061808
72178.47769028871,0.052661
75459.31758530183,0.044903
78740.15748031496,0.038317
82020.99737532808,0.032722
85301.8372703412,0.027965
88582.67716535433,0.023917
91863.51706036745,0.02047
95144.35695538057,0.017533
98425.1968503937,0.015029
101706.03674540682,0.012891
104986.87664041994,0.011065
108267.71653543306,0.0094474
111548.55643044619,0.0080714
114829.39632545931,0.0069089
118110.23622047243,0.0059248
121391.07611548556,0.0050902
124671.91601049868,0.0043809
127952.7559055118,0.0037769
131233.59580052493,0.0032618
134514.43569553806,0.0028216
137795.27559055117,0.0024447
141076.1154855643,0.0021216
144356.95538057742,0.001844
147637.79527559056,0.0016051
150918.63517060367,0.0013993
155511.81102362205,0.0011581
157480.3149606299,0.0010749
164041.99475065616,0.00083827
167322.8346456693,0.00074033
168963.25459317584,0.00069637
170603.6745406824,0.00065765
173884.51443569554,0.00058605
177165.35433070865,0.00052164
180446.1942257218,0.00046376
183727.0341207349,0.0004118
187007.87401574804,0.00036521
190288.71391076114,0.00032348
193569.55380577428,0.00028615
196850.3937007874,0.0002528
200131.23359580053,0.00022303
203412.07349081364,0.0001965
206692.91338582677,0.00017288
209973.75328083988,0.00015188
213254.59317585302,0.00013323
216535.43307086613,0.0001167
219816.27296587927,0.00010206
223097.11286089238,8.9118e-5
226377.9527559055,7.769e-5
229658.79265091862,6.7616e-5
232939.63254593176,5.8747e-5
236220.47244094487,5.0917e-5
239501.312335958,4.3938e-5
242782.1522309711,3.7866e-5
246062.99212598425,3.2589e-5
249343.83202099736,2.8009e-5
252624.6719160105,2.4039e-5
255905.5118110236,2.0603e-5
259186.35170603674,1.7632e-5
262467.19160104985,1.5068e-5
265748.031496063,1.2857e-5
269028.8713910761,1.0954e-5
272309.7112860892,9.3178e-6
275590.55118110235,7.9134e-6
278871.3910761155,6.7099e-6
280511.81102362205,6.1747e-6
