# NASA TM-107580 Appendix F — Trim case 0, Maneuver 1 (Aft Pitch Stick Pulse)
# Digitized from scanned plots: 300 KEAS, 10,000 ft, 1° pitch stick pulse t=1→2s
# Source pages: F-3 (inputs), F-5 (flow angles), F-9 (rates), F-20 (FCS cmds), F-21/22 (surfaces)
# Digitization precision: ~±0.1° for well-gridded axes, ~±0.2° for coarser grids
# BETADEG, PDEG, RDEG, DACMD, DRCMD are all ×10⁻¹⁵ (machine zero) — not included
# Column units: time[s], ALPDEG[deg], QDEG[deg/s], DECMD[deg], DSBCMD[deg], GAMMAD[deg], DLE[deg]
time,ALPDEG,QDEG,DECMD,DSBCMD,GAMMAD,DLE
0.0,5.600,0.000,5.500,16.42,-17.05,5.500
0.5,5.600,0.000,5.500,16.42,-17.05,5.500
1.0,5.600,0.000,5.500,16.42,-17.05,5.500
1.2,5.700,0.400,4.400,16.42,-17.00,5.100
1.5,5.950,0.950,3.850,16.40,-16.90,4.500
1.8,6.200,1.100,3.950,16.38,-16.78,4.400
2.0,6.340,1.150,4.700,16.35,-16.72,4.900
2.2,6.390,0.850,5.200,16.30,-16.65,5.300
2.5,6.250,0.250,5.400,16.22,-16.60,5.350
3.0,5.950,-0.450,5.300,16.05,-16.55,5.250
3.5,5.750,-0.250,5.200,15.92,-16.54,5.200
4.0,5.660,-0.100,5.100,15.80,-16.53,5.150
5.0,5.590,-0.020,5.050,15.65,-16.52,5.100
6.0,5.580,0.000,5.000,15.55,-16.52,5.050
7.0,5.580,0.000,5.000,15.50,-16.52,5.020
8.0,5.590,0.000,5.000,15.48,-16.52,5.010
9.0,5.600,0.000,5.000,15.46,-16.52,5.000
10.0,5.610,0.000,5.000,15.45,-16.52,5.000
