time_s,speed_mph,speed_ms
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,1.0,0.44704
8,3.0,1.34112
9,5.0,2.2352
10,8.0,3.57632
11,10.0,4.4704
12,13.0,5.81152
13,15.0,6.7056
14,18.0,8.04672
15,21.0,9.38784
16,23.0,10.28192
17,26.0,11.62304
18,28.0,12.51712
19,31.0,13.85824
20,33.0,14.75232
21,36.0,16.09344
22,38.0,16.98752
23,41.0,18.32864
24,43.0,19.22272
25,45.0,20.1168
26,48.0,21.45792
27,50.0,22.352
28,52.0,23.24608
29,54.0,24.140159999999998
30,55.0,24.5872
31,57.0,25.481279999999998
32,58.0,25.92832
33,59.0,26.37536
34,59.0,26.37536
35,59.0,26.37536
36,59.0,26.37536
37,59.0,26.37536
38,59.0,26.37536
39,59.0,26.37536
40,59.0,26.37536
41,59.0,26.37536
42,59.0,26.37536
43,59.0,26.37536
44,59.0,26.37536
45,59.0,26.37536
46,59.0,26.37536
47,60.0,26.8224
48,60.0,26.8224
49,60.0,26.8224
50,60.0,26.8224
51,60.0,26.8224
52,60.0,26.8224
53,60.0,26.8224
54,60.0,26.8224
55,60.0,26.8224
56,60.0,26.8224
57,60.0,26.8224
58,60.0,26.8224
59,60.0,26.8224
60,60.0,26.8224
61,60.0,26.8224
62,60.0,26.8224
63,60.0,26.8224
64,60.0,26.8224
65,60.0,26.8224
66,60.0,26.8224
67,60.0,26.8224
68,60.0,26.8224
69,60.0,26.8224
70,60.0,26.8224
71,60.0,26.8224
72,60.0,26.8224
73,60.0,26.8224
74,60.0,26.8224
75,60.0,26.8224
76,60.0,26.8224
77,60.0,26.8224
78,60.0,26.8224
79,60.0,26.8224
80,60.0,26.8224
81,60.0,26.8224
82,60.0,26.8224
83,60.0,26.8224
84,60.0,26.8224
85,60.0,26.8224
86,60.0,26.8224
87,60.0,26.8224
88,60.0,26.8224
89,60.0,26.8224
90,60.0,26.8224
91,60.0,26.8224
92,60.0,26.8224
93,60.0,26.8224
94,60.0,26.8224
95,60.0,26.8224
96,60.0,26.8224
97,60.0,26.8224
98,60.0,26.8224
99,60.0,26.8224
100,60.0,26.8224
101,60.0,26.8224
102,60.0,26.8224
103,60.0,26.8224
104,60.0,26.8224
105,60.0,26.8224
106,60.0,26.8224
107,60.0,26.8224
108,60.0,26.8224
109,60.0,26.8224
110,60.0,26.8224
111,60.0,26.8224
112,60.0,26.8224
113,60.0,26.8224
114,60.0,26.8224
115,60.0,26.8224
116,60.0,26.8224
117,60.0,26.8224
118,60.0,26.8224
119,60.0,26.8224
120,60.0,26.8224
121,60.0,26.8224
122,60.0,26.8224
123,60.0,26.8224
124,60.0,26.8224
125,60.0,26.8224
126,60.0,26.8224
127,60.0,26.8224
128,60.0,26.8224
129,60.0,26.8224
130,60.0,26.8224
131,60.0,26.8224
132,60.0,26.8224
133,60.0,26.8224
134,60.0,26.8224
135,60.0,26.8224
136,60.0,26.8224
137,60.0,26.8224
138,60.0,26.8224
139,60.0,26.8224
140,60.0,26.8224
141,60.0,26.8224
142,60.0,26.8224
143,60.0,26.8224
144,60.0,26.8224
145,60.0,26.8224
146,60.0,26.8224
147,60.0,26.8224
148,60.0,26.8224
149,60.0,26.8224
150,60.0,26.8224
151,60.0,26.8224
152,60.0,26.8224
153,60.0,26.8224
154,60.0,26.8224
155,60.0,26.8224
156,60.0,26.8224
157,60.0,26.8224
158,60.0,26.8224
159,60.0,26.8224
160,60.0,26.8224
161,60.0,26.8224
162,60.0,26.8224
163,60.0,26.8224
164,60.0,26.8224
165,60.0,26.8224
166,60.0,26.8224
167,60.0,26.8224
168,60.0,26.8224
169,60.0,26.8224
170,60.0,26.8224
171,60.0,26.8224
172,60.0,26.8224
173,60.0,26.8224
174,60.0,26.8224
175,60.0,26.8224
176,60.0,26.8224
177,60.0,26.8224
178,60.0,26.8224
179,60.0,26.8224
180,60.0,26.8224
181,60.0,26.8224
182,60.0,26.8224
183,60.0,26.8224
184,60.0,26.8224
185,60.0,26.8224
186,60.0,26.8224
187,60.0,26.8224
188,60.0,26.8224
189,60.0,26.8224
190,60.0,26.8224
191,60.0,26.8224
192,60.0,26.8224
193,60.0,26.8224
194,60.0,26.8224
195,60.0,26.8224
196,60.0,26.8224
197,60.0,26.8224
198,60.0,26.8224
199,60.0,26.8224
200,60.0,26.8224
201,60.0,26.8224
202,60.0,26.8224
203,60.0,26.8224
204,60.0,26.8224
205,60.0,26.8224
206,60.0,26.8224
207,60.0,26.8224
208,60.0,26.8224
209,60.0,26.8224
210,60.0,26.8224
211,60.0,26.8224
212,60.0,26.8224
213,60.0,26.8224
214,60.0,26.8224
215,60.0,26.8224
216,60.0,26.8224
217,60.0,26.8224
218,60.0,26.8224
219,60.0,26.8224
220,60.0,26.8224
221,60.0,26.8224
222,60.0,26.8224
223,60.0,26.8224
224,60.0,26.8224
225,60.0,26.8224
226,60.0,26.8224
227,60.0,26.8224
228,60.0,26.8224
229,60.0,26.8224
230,60.0,26.8224
231,60.0,26.8224
232,60.0,26.8224
233,60.0,26.8224
234,60.0,26.8224
235,60.0,26.8224
236,60.0,26.8224
237,60.0,26.8224
238,60.0,26.8224
239,60.0,26.8224
240,60.0,26.8224
241,60.0,26.8224
242,60.0,26.8224
243,60.0,26.8224
244,60.0,26.8224
245,60.0,26.8224
246,60.0,26.8224
247,60.0,26.8224
248,60.0,26.8224
249,60.0,26.8224
250,60.0,26.8224
251,60.0,26.8224
252,60.0,26.8224
253,60.0,26.8224
254,60.0,26.8224
255,60.0,26.8224
256,60.0,26.8224
257,60.0,26.8224
258,60.0,26.8224
259,60.0,26.8224
260,60.0,26.8224
261,60.0,26.8224
262,60.0,26.8224
263,60.0,26.8224
264,60.0,26.8224
265,60.0,26.8224
266,60.0,26.8224
267,60.0,26.8224
268,60.0,26.8224
269,60.0,26.8224
270,60.0,26.8224
271,60.0,26.8224
272,60.0,26.8224
273,60.0,26.8224
274,60.0,26.8224
275,60.0,26.8224
276,60.0,26.8224
277,60.0,26.8224
278,60.0,26.8224
279,60.0,26.8224
280,60.0,26.8224
281,60.0,26.8224
282,60.0,26.8224
283,60.0,26.8224
284,60.0,26.8224
285,60.0,26.8224
286,60.0,26.8224
287,60.0,26.8224
288,60.0,26.8224
289,60.0,26.8224
290,60.0,26.8224
291,60.0,26.8224
292,60.0,26.8224
293,60.0,26.8224
294,60.0,26.8224
295,60.0,26.8224
296,60.0,26.8224
297,60.0,26.8224
298,60.0,26.8224
299,60.0,26.8224
300,60.0,26.8224
301,60.0,26.8224
302,60.0,26.8224
303,60.0,26.8224
304,60.0,26.8224
305,60.0,26.8224
306,60.0,26.8224
307,60.0,26.8224
308,60.0,26.8224
309,60.0,26.8224
310,60.0,26.8224
311,60.0,26.8224
312,60.0,26.8224
313,60.0,26.8224
314,60.0,26.8224
315,60.0,26.8224
316,60.0,26.8224
317,60.0,26.8224
318,60.0,26.8224
319,60.0,26.8224
320,60.0,26.8224
321,60.0,26.8224
322,60.0,26.8224
323,60.0,26.8224
324,60.0,26.8224
325,60.0,26.8224
326,60.0,26.8224
327,60.0,26.8224
328,60.0,26.8224
329,60.0,26.8224
330,60.0,26.8224
331,60.0,26.8224
332,60.0,26.8224
333,60.0,26.8224
334,60.0,26.8224
335,60.0,26.8224
336,60.0,26.8224
337,60.0,26.8224
338,60.0,26.8224
339,60.0,26.8224
340,60.0,26.8224
341,60.0,26.8224
342,60.0,26.8224
343,60.0,26.8224
344,60.0,26.8224
345,60.0,26.8224
346,60.0,26.8224
347,60.0,26.8224
348,60.0,26.8224
349,60.0,26.8224
350,60.0,26.8224
351,60.0,26.8224
352,60.0,26.8224
353,60.0,26.8224
354,60.0,26.8224
355,60.0,26.8224
356,60.0,26.8224
357,60.0,26.8224
358,60.0,26.8224
359,60.0,26.8224
360,60.0,26.8224
361,60.0,26.8224
362,60.0,26.8224
363,60.0,26.8224
364,60.0,26.8224
365,60.0,26.8224
366,60.0,26.8224
367,60.0,26.8224
368,60.0,26.8224
369,60.0,26.8224
370,60.0,26.8224
371,60.0,26.8224
372,60.0,26.8224
373,60.0,26.8224
374,60.0,26.8224
375,60.0,26.8224
376,60.0,26.8224
377,60.0,26.8224
378,60.0,26.8224
379,60.0,26.8224
380,60.0,26.8224
381,60.0,26.8224
382,60.0,26.8224
383,60.0,26.8224
384,60.0,26.8224
385,60.0,26.8224
386,60.0,26.8224
