time,pm_pred,stator_yoke_pred,stator_tooth_pred,stator_winding_pred
0.0,35.52539,38.01852,37.8663,38.895035
0.5,35.558434,38.034336,37.883087,38.937214
1.0,35.591404,38.050304,37.899963,38.979164
1.5,35.623898,38.066284,37.916737,39.02026
2.0,35.655384,38.081978,37.9332,39.059994
2.5,35.68533,38.09706,37.949104,39.097824
3.0,35.713375,38.111347,37.964294,39.133373
3.5,35.73967,38.124886,37.978825,39.166824
4.0,35.764416,38.13779,37.992794,39.19845
4.5,35.787685,38.15014,38.006287,39.228363
5.0,35.810135,38.162266,38.01963,39.25743
5.5,35.832565,38.174545,38.03317,39.286606
6.0,35.855465,38.187214,38.047066,39.316395
6.5,35.879154,38.200397,38.061382,39.34707
7.0,35.903774,38.214146,38.076134,39.37873
7.5,35.929375,38.228447,38.0913,39.411415
8.0,35.956047,38.243324,38.106884,39.44519
8.5,35.98389,38.25879,38.122875,39.480095
9.0,36.01252,38.274662,38.13914,39.515766
9.5,36.041424,38.290672,38.155514,39.551735
10.0,36.0706,38.3068,38.171978,39.58799
10.5,36.100277,38.323154,38.188595,39.62473
11.0,36.13042,38.339695,38.205338,39.661926
11.5,36.160877,38.356323,38.222137,39.69944
12.0,36.19166,38.373028,38.238995,39.7373
12.5,36.22284,38.38984,38.255928,39.77558
13.0,36.25441,38.406742,38.272938,39.81429
13.5,36.28633,38.423706,38.290016,39.85342
14.0,36.31877,38.44082,38.307217,39.89313
14.5,36.351967,38.45821,38.324604,39.933594
15.0,36.385635,38.475807,38.342117,39.97451
15.5,36.41933,38.493435,38.359653,40.01543
16.0,36.45263,38.510902,38.37709,40.055977
16.5,36.485165,38.527985,38.39431,40.09584
17.0,36.516712,38.54455,38.411198,40.134785
17.5,36.547108,38.5605,38.427647,40.172573
18.0,36.5765,38.5759,38.443695,40.209328
18.5,36.60516,38.590927,38.459465,40.245323
19.0,36.633293,38.605717,38.475075,40.280785
19.5,36.66106,38.620396,38.49063,40.315895
20.0,36.688732,38.635056,38.50619,40.35094
20.5,36.71655,38.649693,38.521748,40.386166
21.0,36.74448,38.664238,38.537247,40.421574
21.5,36.772366,38.678596,38.55259,40.456944
22.0,36.79996,38.69265,38.56766,40.491955
22.5,36.827023,38.70629,38.582325,40.52625
23.0,36.853607,38.719555,38.59659,40.55985
23.5,36.879612,38.7326,38.61023,40.591705
24.0,36.90508,38.745518,38.623276,40.621704
24.5,36.93034,38.75838,38.636086,40.65096
25.0,36.95594,38.77137,38.649067,40.68074
25.5,36.982407,38.784683,38.66258,40.712143
26.0,37.01001,38.798447,38.676727,40.74548
26.5,37.038788,38.812725,38.691433,40.780457
27.0,37.06808,38.827274,38.706306,40.815865
27.5,37.09699,38.841732,38.72084,40.85014
28.0,37.12536,38.856014,38.73499,40.883186
28.5,37.15343,38.87018,38.748985,40.915756
29.0,37.181183,38.884182,38.762863,40.947987
29.5,37.20847,38.89797,38.77657,40.979725
30.0,37.235157,38.91149,38.78999,41.01062
30.5,37.261086,38.924725,38.802944,41.04008
31.0,37.285816,38.93749,38.815163,41.067352
31.5,37.308914,38.949593,38.826424,41.091763
32.0,37.330334,38.961033,38.83666,41.113132
32.5,37.35017,38.971867,38.84585,41.13141
33.0,37.36829,38.982033,38.853954,41.14646
33.5,37.384586,38.991447,38.860962,41.15833
34.0,37.399216,39.000187,38.866962,41.16728
34.5,37.412395,39.008347,38.87203,41.173485
35.0,37.424385,39.016052,38.876274,41.177288
35.5,37.43545,39.023426,38.87984,41.179077
36.0,37.44563,39.03045,38.88282,41.179146
36.5,37.45496,39.03709,38.885353,41.177986
37.0,37.463486,39.04334,38.8876,41.17608
37.5,37.47133,39.049225,38.88977,41.17405
38.0,37.478386,39.0547,38.89181,41.171707
38.5,37.484352,39.059673,38.89343,41.168224
39.0,37.489788,39.06439,38.89486,41.16424
39.5,37.4955,39.069202,38.896515,41.16091
40.0,37.501884,39.074284,38.898647,41.15897
40.5,37.50919,39.07972,38.901474,41.15903
41.0,37.51674,39.085236,38.904552,41.15984
41.5,37.52344,39.090397,38.90712,41.159187
42.0,37.52901,39.0951,38.908924,41.156376
42.5,37.533573,39.099396,38.910015,41.15243
43.0,37.53715,39.103283,38.91047,41.150257
43.5,37.539864,39.10679,38.910492,41.149277
44.0,37.54175,39.109917,38.910236,41.14905
44.5,37.54288,39.11269,38.90986,41.149143
45.0,37.543507,39.115215,38.909554,41.149025
45.5,37.54389,39.117607,38.909496,41.148235
46.0,37.544113,39.119904,38.90971,41.14672
46.5,37.544113,39.122086,38.910133,41.144672
47.0,37.54417,39.12428,38.910988,41.141483
47.5,37.544716,39.126663,38.912632,41.13768
48.0,37.546093,39.129387,38.91534,41.13666
48.5,37.548546,39.132603,38.91927,41.13878
49.0,37.55254,39.136585,38.92459,41.14429
49.5,37.55841,39.141594,38.93137,41.153114
50.0,37.56576,39.14749,38.93932,41.16444
50.5,37.573933,39.15399,38.948036,41.17719
51.0,37.582336,39.160763,38.9571,41.190422
51.5,37.5904,39.167442,38.966072,41.203213
52.0,37.5979,39.17395,38.97484,41.215206
52.5,37.604977,39.18045,38.98357,41.2266
53.0,37.611736,39.186962,38.992302,41.23755
53.5,37.61816,39.193398,39.000946,41.24801
54.0,37.62415,39.199696,39.00942,41.257812
54.5,37.629654,39.205856,39.017727,41.26689
55.0,37.6351,39.21207,39.0261,41.275887
55.5,37.641,39.218567,39.034782,41.28553
56.0,37.64703,39.225163,39.04357,41.295364
56.5,37.65252,39.231472,39.052032,41.30439
57.0,37.657703,39.237587,39.06028,41.31296
57.5,37.6632,39.24382,39.06867,41.32202
58.0,37.668747,39.250027,39.07704,41.33116
58.5,37.673683,39.255882,39.08498,41.33933
59.0,37.677673,39.26121,39.09226,41.34595
59.5,37.680553,39.265953,39.098763,41.350742
60.0,37.682198,39.270027,39.104362,41.35341
60.5,37.68242,39.273335,39.108864,41.353535
61.0,37.681885,39.276054,39.112522,41.351696
61.5,37.68176,39.278572,39.11592,41.349194
62.0,37.68191,39.280937,39.119095,41.346195
